60%EE 	80%EE	100%E		30%PV Rest Wind
0.03	0.03	0.03		
0.03	0.03	0.03		
0.03	0.03	0.03		
0.03	0.03	0.03		
0.03	0.03	0.03		
0.03	0.03	0.03		
0.03	0.03	0.03		
0.03	0.03	0.03		
0.03	0.03	0.03		
0.03	0.03	0.03		
0.03	0.03	0.03		
0.03	0.03	0.03		
0.03	0.03	0.03		
0.03	0.03	0.03		
0.03	0.03	0.03		
0.03	0.03	0.03		
0.03	0.03	0.03		
0.03	0.03	0.03		
0.03	0.03	0.03		
0.03	0.03	0.03		
0.03	0.03	0.03		
0.03	0.03	0.03		
0.03	0.03	0.03		
0.03	0.03	0.03		
0.03	0.03	0.03		
0.03	0.03	0.03		
0.03	0.03	0.03		
0.03	0.03	0.03		
0.03	0.03	0.03		
0.03	0.03	0.03		
0.03	0.03	0.03		
0.03	0.03	0.03		
0.03	0.03	0.03		
0.03	0.03	0.03		
0.03	0.03	0.03		
0.03	0.03	0.03		
0.03	0.03	0.03		
0.03	0.03	0.03		
0.03	0.03	0.03		
0.03	0.03	0.03		
0.03	0.03	0.03		
0.03	0.03	0.03		
0.03	0.03	0.03		
0.03	0.03	0.03		
0.03	0.03	0.03		
0.03	0.03	0.03		
0.03	0.03	0.03		
0.03	0.03	0.03		
0.03	0.03	0.03		
0.03	0.03	0.03		
0.03	0.03	0.03		
0.03	0.03	0.03		
0.03	0.03	0.03		
0.03	0.03	0.03		
0.03	0.03	0.03		
0.03	0.03	0.03		
0.03	0.03	0.03		
0.03	0.03	0.03		
0.03	0.03	0.03		
0.03	0.03	0.03		
0.03	0.03	0.03		
0.03	0.03	0.03		
0.03	0.03	0.03		
0.03	0.03	0.03		
0.03	0.03	0.03		
0.03	0.03	0.03		
0.03	0.03	0.03		
0.03	0.03	0.03		
0.03	0.03	0.03		
0.03	0.03	0.03		
0.03	0.03	0.03		
0.03	0.03	0.03		
0.03	0.03	0.03		
0.03	0.03	0.03		
0.03	0.03	0.03		
0.03	0.03	0.03		
0.012422	0.03	0.03		
0.035557	0.03	0.03		
0.050928	0.03	0.03		
0.072382	0.03	0.03		
0.088666	0.03	0.03		
0.13391	0.03	0.03		
0.14754	0.03	0.03		
0.17253	0.03	0.03		
0.18875	0.03	0.03		
0.21378	0.011423	0.03		
0.21973	0.019367	0.03		
0.24256	0.049806	0.03		
0.26576	0.080736	0.03		
0.27388	0.091558	0.03		
0.28007	0.09981	0.03		
0.27999	0.099714	0.03		
0.28338	0.10422	0.03		
0.30156	0.12847	0.03		
0.31904	0.15178	0.03		
0.33268	0.16996	0.0072361		
0.33836	0.17754	0.016716		
0.36467	0.21261	0.06056		
0.37134	0.22151	0.071679		
0.37586	0.22753	0.079205		
0.36524	0.21337	0.061508		
0.33792	0.17695	0.01598		
0.31704	0.14911	0.03		
0.29511	0.11986	0.03		
0.27656	0.095136	0.03		
0.25718	0.06929	0.03		
0.24547	0.053678	0.03		
0.23505	0.039789	0.03		
0.22619	0.027982	0.03		
0.22945	0.032325	0.03		
0.21596	0.014334	0.03		
0.21598	0.014361	0.03		
0.19776	0.03	0.03		
0.17616	0.03	0.03		
0.15449	0.03	0.03		
0.13758	0.03	0.03		
0.11717	0.03	0.03		
0.067567	0.03	0.03		
0.045116	0.03	0.03		
0.044984	0.03	0.03		
0.022182	0.03	0.03		
0.0060342	0.03	0.03		
0.03	0.03	0.03		
0.03	0.03	0.03		
0.03	0.03	0.03		
0.03	0.03	0.03		
0.03	0.03	0.03		
0.03	0.03	0.03		
0.03	0.03	0.03		
0.03	0.03	0.03		
0.03	0.03	0.03		
0.03	0.03	0.03		
0.03	0.03	0.03		
0.03	0.03	0.03		
0.03	0.03	0.03		
0.03	0.03	0.03		
0.03	0.03	0.03		
0.03	0.03	0.03		
0.03	0.03	0.03		
0.03	0.03	0.03		
0.03	0.03	0.03		
0.03	0.03	0.03		
0.03	0.03	0.03		
0.03	0.03	0.03		
0.03	0.03	0.03		
0.03	0.03	0.03		
0.03	0.03	0.03		
0.03	0.03	0.03		
0.03	0.03	0.03		
0.03	0.03	0.03		
0.03	0.03	0.03		
0.03	0.03	0.03		
0.03	0.03	0.03		
0.0071519	0.03	0.03		
0.01609	0.03	0.03		
0.010488	0.03	0.03		
0.03	0.03	0.03		
0.03	0.03	0.03		
0.03	0.03	0.03		
0.03	0.03	0.03		
0.03	0.03	0.03		
0.03	0.03	0.03		
0.03	0.03	0.03		
0.03	0.03	0.03		
0.03	0.03	0.03		
0.03	0.03	0.03		
0.03	0.03	0.03		
0.03	0.03	0.03		
0.03	0.03	0.03		
0.03	0.03	0.03		
0.03	0.03	0.03		
0.03	0.03	0.03		
0.03	0.03	0.03		
0.03	0.03	0.03		
0.020145	0.03	0.03		
0.04872	0.03	0.03		
0.07678	0.03	0.03		
0.10658	0.03	0.03		
0.13043	0.03	0.03		
0.16065	0.03	0.03		
0.17971	0.03	0.03		
0.2009	0.03	0.03		
0.21065	0.0072548	0.03		
0.23721	0.04267	0.03		
0.25591	0.067604	0.03		
0.28845	0.11099	0.03		
0.30488	0.1329	0.03		
0.3091	0.13852	0.03		
0.30477	0.13274	0.03		
0.3072	0.13599	0.03		
0.31181	0.14213	0.03		
0.3047	0.13266	0.03		
0.29533	0.12016	0.03		
0.29672	0.12201	0.03		
0.29104	0.11444	0.03		
0.29167	0.11529	0.03		
0.29049	0.11371	0.03		
0.28203	0.10242	0.03		
0.27814	0.097246	0.03		
0.29175	0.11539	0.03		
0.29497	0.11969	0.03		
0.32095	0.15432	0.03		
0.32841	0.16427	0.00012422		
0.33574	0.17404	0.012348		
0.3436	0.18452	0.025447		
0.34173	0.18202	0.022321		
0.34986	0.19287	0.035878		
0.35565	0.20059	0.045528		
0.3524	0.19626	0.040112		
0.34026	0.18006	0.01987		
0.34349	0.18437	0.025256		
0.34415	0.18525	0.026359		
0.3378	0.17679	0.015776		
0.33436	0.1722	0.010038		
0.34654	0.18845	0.030348		
0.34833	0.19084	0.033335		
0.34775	0.19005	0.032353		
0.34874	0.19138	0.034017		
0.34298	0.1837	0.024417		
0.3396	0.17918	0.018772		
0.33567	0.17394	0.012222		
0.32966	0.16593	0.0022073		
0.32459	0.15918	0.03		
0.31817	0.15061	0.03		
0.31469	0.14597	0.03		
0.30845	0.13766	0.03		
0.30863	0.1379	0.03		
0.31145	0.14166	0.03		
0.31149	0.14171	0.03		
0.30128	0.12809	0.03		
0.28955	0.11246	0.03		
0.28839	0.11091	0.03		
0.26806	0.083797	0.03		
0.26819	0.083975	0.03		
0.25031	0.060132	0.03		
0.24319	0.050646	0.03		
0.2477	0.056657	0.03		
0.26822	0.084012	0.03		
0.25989	0.072914	0.03		
0.24808	0.057163	0.03		
0.24542	0.053612	0.03		
0.2796	0.099183	0.03		
0.28557	0.10714	0.03		
0.28107	0.10115	0.03		
0.29769	0.12331	0.03		
0.29968	0.12597	0.03		
0.30715	0.13592	0.03		
0.31243	0.14297	0.03		
0.30976	0.13941	0.03		
0.30778	0.13677	0.03		
0.30288	0.13022	0.03		
0.29381	0.11813	0.03		
0.28075	0.10072	0.03		
0.28356	0.10447	0.03		
0.26593	0.080965	0.03		
0.26253	0.076427	0.03		
0.25621	0.068004	0.03		
0.24907	0.05848	0.03		
0.23645	0.04165	0.03		
0.24242	0.049621	0.03		
0.23812	0.043878	0.03		
0.23237	0.036212	0.03		
0.22877	0.031415	0.03		
0.23672	0.042016	0.03		
0.24683	0.055496	0.03		
0.25944	0.072311	0.03		
0.27023	0.086694	0.03		
0.29533	0.12016	0.03		
0.31865	0.15125	0.03		
0.3568	0.20213	0.04745		
0.39095	0.24766	0.10437		
0.42825	0.29739	0.16653		
0.45788	0.33689	0.21591		
0.49096	0.381	0.27104		
0.53109	0.43451	0.33793		
0.56221	0.476	0.38979		
0.5889	0.51159	0.43428		
0.61862	0.55121	0.48381		
0.63896	0.57834	0.51772		
0.65139	0.59491	0.53843		
0.65728	0.60276	0.54825		
0.66369	0.61131	0.55893		
0.66714	0.6159	0.56467		
0.67344	0.6243	0.57517		
0.67879	0.63145	0.5841		
0.6834	0.63759	0.59178		
0.68611	0.6412	0.59629		
0.68324	0.63738	0.59152		
0.68737	0.64288	0.5984		
0.68714	0.64258	0.59801		
0.69249	0.64971	0.60693		
0.69827	0.65742	0.61657		
0.70282	0.66348	0.62414		
0.70767	0.66995	0.63223		
0.71262	0.67654	0.64047		
0.71852	0.68442	0.65031		
0.72194	0.68898	0.65602		
0.72834	0.6975	0.66667		
0.73185	0.70218	0.67252		
0.73464	0.7059	0.67717		
0.73774	0.71004	0.68235		
0.74305	0.71712	0.69119		
0.74651	0.72174	0.69696		
0.75066	0.72726	0.70387		
0.75387	0.73155	0.70923		
0.7529	0.73025	0.70761		
0.75481	0.7328	0.71079		
0.75324	0.73071	0.70818		
0.75504	0.73311	0.71117		
0.75787	0.73689	0.7159		
0.76349	0.74438	0.72526		
0.76602	0.74775	0.72947		
0.76805	0.75045	0.73286		
0.77213	0.75589	0.73966		
0.77521	0.76	0.74479		
0.77732	0.76282	0.74832		
0.77998	0.76637	0.75275		
0.78355	0.77112	0.7587		
0.7861	0.77452	0.76294		
0.78824	0.77738	0.76652		
0.78797	0.77702	0.76606		
0.78807	0.77714	0.76622		
0.78872	0.77801	0.7673		
0.78998	0.77969	0.76941		
0.78939	0.77891	0.76843		
0.78855	0.77778	0.76702		
0.78554	0.77378	0.76202		
0.78516	0.77327	0.76138		
0.78395	0.77166	0.75936		
0.78187	0.76888	0.75589		
0.77964	0.76591	0.75218		
0.77616	0.76126	0.74637		
0.77494	0.75964	0.74434		
0.77267	0.75662	0.74057		
0.76912	0.75188	0.73464		
0.7666	0.74852	0.73044		
0.76198	0.74237	0.72275		
0.75927	0.73875	0.71823		
0.758	0.73706	0.71612		
0.7534	0.73092	0.70844		
0.75294	0.7303	0.70767		
0.75009	0.72651	0.70293		
0.74563	0.72056	0.69549		
0.73714	0.70924	0.68135		
0.72296	0.69034	0.65772		
0.70059	0.66051	0.62043		
0.67412	0.62522	0.57631		
0.64372	0.58468	0.52564		
0.61107	0.54115	0.47123		
0.582	0.50239	0.42278		
0.55552	0.46708	0.37864		
0.53323	0.43737	0.3415		
0.51068	0.4073	0.30392		
0.49107	0.38115	0.27123		
0.46939	0.35225	0.2351		
0.4547	0.33266	0.21061		
0.44315	0.31726	0.19137		
0.43739	0.30957	0.18176		
0.43821	0.31067	0.18313		
0.4426	0.31653	0.19045		
0.44287	0.31689	0.1909		
0.44506	0.31981	0.19455		
0.44944	0.32565	0.20185		
0.46338	0.34423	0.22508		
0.47696	0.36233	0.2477		
0.49322	0.38401	0.2748		
0.51317	0.41062	0.30807		
0.53305	0.43712	0.34119		
0.54571	0.45401	0.3623		
0.5663	0.48145	0.39661		
0.57683	0.4955	0.41416		
0.59059	0.51385	0.4371		
0.59438	0.51889	0.44341		
0.59596	0.521	0.44605		
0.59194	0.51565	0.43935		
0.58382	0.50482	0.42581		
0.58131	0.50146	0.42162		
0.57362	0.49121	0.40881		
0.56899	0.48504	0.40109		
0.55437	0.46555	0.37673		
0.54416	0.45194	0.35972		
0.53134	0.43484	0.33834		
0.53097	0.43435	0.33773		
0.52472	0.42601	0.3273		
0.52204	0.42244	0.32285		
0.51539	0.41358	0.31177		
0.5161	0.41452	0.31294		
0.51499	0.41305	0.3111		
0.51113	0.40789	0.30466		
0.49448	0.38569	0.27691		
0.49497	0.38635	0.27773		
0.49548	0.38703	0.27857		
0.50445	0.39898	0.29352		
0.50675	0.40206	0.29736		
0.50642	0.40162	0.29681		
0.50607	0.40115	0.29623		
0.50202	0.39575	0.28948		
0.48853	0.37777	0.267		
0.47889	0.3649	0.25092		
0.4763	0.36145	0.24661		
0.4779	0.36359	0.24927		
0.46819	0.35064	0.2331		
0.46825	0.35073	0.2332		
0.47287	0.35689	0.2409		
0.46344	0.34431	0.22518		
0.45698	0.33569	0.21441		
0.46037	0.34022	0.22007		
0.45662	0.33521	0.21381		
0.45545	0.33366	0.21187		
0.46091	0.34094	0.22097		
0.47135	0.35486	0.23836		
0.47669	0.36198	0.24727		
0.48473	0.37269	0.26066		
0.48429	0.37211	0.25993		
0.48865	0.37792	0.26719		
0.49033	0.38016	0.26999		
0.48876	0.37807	0.26738		
0.4787	0.36466	0.25062		
0.47114	0.35457	0.23801		
0.46807	0.35049	0.2329		
0.46909	0.35184	0.23459		
0.46469	0.34597	0.22726		
0.46915	0.35192	0.23469		
0.47064	0.35391	0.23718		
0.47537	0.36021	0.24506		
0.4869	0.37559	0.26428		
0.49232	0.38281	0.27331		
0.49957	0.39248	0.2854		
0.49769	0.38998	0.28226		
0.51292	0.41028	0.30764		
0.50931	0.40547	0.30162		
0.51339	0.41091	0.30843		
0.51785	0.41685	0.31586		
0.53187	0.43555	0.33922		
0.54621	0.45467	0.36312		
0.54929	0.45878	0.36827		
0.55668	0.46863	0.38058		
0.56349	0.47772	0.39194		
0.56798	0.48369	0.39941		
0.57018	0.48663	0.40307		
0.57084	0.48751	0.40418		
0.57258	0.48983	0.40708		
0.57019	0.48665	0.4031		
0.56871	0.48466	0.40062		
0.55832	0.47081	0.38331		
0.55122	0.46135	0.37148		
0.54211	0.4492	0.35629		
0.53661	0.44186	0.34712		
0.52091	0.42094	0.32096		
0.5122	0.40933	0.30645		
0.5026	0.39652	0.29044		
0.49412	0.38522	0.27632		
0.48448	0.37236	0.26024		
0.47272	0.35669	0.24065		
0.4668	0.34878	0.23077		
0.46449	0.34571	0.22692		
0.45811	0.3372	0.21629		
0.45058	0.32716	0.20374		
0.4473	0.32279	0.19828		
0.45338	0.33089	0.20841		
0.46174	0.34204	0.22235		
0.46656	0.34846	0.23037		
0.4845	0.37239	0.26028		
0.51182	0.40881	0.30581		
0.51949	0.41904	0.3186		
0.52736	0.42953	0.33171		
0.53643	0.44163	0.34683		
0.5509	0.46092	0.37094		
0.55954	0.47244	0.38534		
0.56456	0.47914	0.39371		
0.56686	0.4822	0.39754		
0.55825	0.47072	0.38319		
0.55859	0.47117	0.38375		
0.55451	0.46573	0.37695		
0.54289	0.45024	0.3576		
0.53358	0.43782	0.34207		
0.52578	0.42743	0.32908		
0.50754	0.40311	0.29868		
0.49517	0.38661	0.27805		
0.4852	0.37332	0.26144		
0.4783	0.36413	0.24995		
0.46306	0.3438	0.22454		
0.45038	0.3269	0.20342		
0.4436	0.31786	0.19211		
0.43454	0.30577	0.177		
0.40825	0.27072	0.13319		
0.38732	0.24281	0.098305		
0.37531	0.2268	0.078294		
0.36615	0.21459	0.063023		
0.35722	0.20269	0.048148		
0.34435	0.18553	0.026702		
0.32977	0.16608	0.0023869		
0.31984	0.15284	0.03		
0.32074	0.15404	0.03		
0.30284	0.13018	0.03		
0.29282	0.11681	0.03		
0.2954	0.12026	0.03		
0.2745	0.092389	0.03		
0.27596	0.094334	0.03		
0.2721	0.089184	0.03		
0.26788	0.083557	0.03		
0.26203	0.07576	0.03		
0.25086	0.060862	0.03		
0.22828	0.030765	0.03		
0.22434	0.025514	0.03		
0.20291	0.03	0.03		
0.1901	0.03	0.03		
0.18978	0.03	0.03		
0.19519	0.03	0.03		
0.18795	0.03	0.03		
0.17207	0.03	0.03		
0.16835	0.03	0.03		
0.16332	0.03	0.03		
0.1528	0.03	0.03		
0.14795	0.03	0.03		
0.15228	0.03	0.03		
0.14958	0.03	0.03		
0.14748	0.03	0.03		
0.14471	0.03	0.03		
0.13858	0.03	0.03		
0.14044	0.03	0.03		
0.14526	0.03	0.03		
0.1457	0.03	0.03		
0.15719	0.03	0.03		
0.16757	0.03	0.03		
0.17523	0.03	0.03		
0.16135	0.03	0.03		
0.15517	0.03	0.03		
0.15928	0.03	0.03		
0.17333	0.03	0.03		
0.17852	0.03	0.03		
0.17347	0.03	0.03		
0.17531	0.03	0.03		
0.18055	0.03	0.03		
0.18951	0.03	0.03		
0.19699	0.03	0.03		
0.1906	0.03	0.03		
0.18633	0.03	0.03		
0.16508	0.03	0.03		
0.16087	0.03	0.03		
0.16016	0.03	0.03		
0.15792	0.03	0.03		
0.14759	0.03	0.03		
0.14139	0.03	0.03		
0.12898	0.03	0.03		
0.11401	0.03	0.03		
0.11701	0.03	0.03		
0.11554	0.03	0.03		
0.11678	0.03	0.03		
0.12057	0.03	0.03		
0.1181	0.03	0.03		
0.12519	0.03	0.03		
0.12783	0.03	0.03		
0.13936	0.03	0.03		
0.14812	0.03	0.03		
0.16534	0.03	0.03		
0.17206	0.03	0.03		
0.17644	0.03	0.03		
0.1792	0.03	0.03		
0.18985	0.03	0.03		
0.21519	0.013309	0.03		
0.22527	0.026747	0.03		
0.23476	0.039396	0.03		
0.24325	0.050723	0.03		
0.22606	0.027802	0.03		
0.23622	0.041344	0.03		
0.23393	0.038296	0.03		
0.22353	0.024434	0.03		
0.21948	0.019035	0.03		
0.21898	0.018368	0.03		
0.22566	0.027275	0.03		
0.22888	0.031562	0.03		
0.21578	0.014101	0.03		
0.20216	0.03	0.03		
0.18947	0.03	0.03		
0.16855	0.03	0.03		
0.15526	0.03	0.03		
0.12416	0.03	0.03		
0.10958	0.03	0.03		
0.092636	0.03	0.03		
0.067863	0.03	0.03		
0.050388	0.03	0.03		
0.040127	0.03	0.03		
0.028302	0.03	0.03		
0.017027	0.03	0.03		
0.03	0.03	0.03		
0.03	0.03	0.03		
0.03	0.03	0.03		
0.03	0.03	0.03		
0.03	0.03	0.03		
0.03	0.03	0.03		
0.03	0.03	0.03		
0.03	0.03	0.03		
0.03	0.03	0.03		
0.03	0.03	0.03		
0.03	0.03	0.03		
0.03	0.03	0.03		
0.03	0.03	0.03		
0.03	0.03	0.03		
0.03	0.03	0.03		
0.03	0.03	0.03		
0.03	0.03	0.03		
0.03	0.03	0.03		
0.03	0.03	0.03		
0.03	0.03	0.03		
0.03	0.03	0.03		
0.03	0.03	0.03		
0.03	0.03	0.03		
0.03	0.03	0.03		
0.03	0.03	0.03		
0.03	0.03	0.03		
0.03	0.03	0.03		
0.03	0.03	0.03		
0.03	0.03	0.03		
0.03	0.03	0.03		
0.03	0.03	0.03		
0.03	0.03	0.03		
0.03	0.03	0.03		
0.03	0.03	0.03		
0.03	0.03	0.03		
0.03	0.03	0.03		
0.03	0.03	0.03		
0.03	0.03	0.03		
0.03	0.03	0.03		
0.03	0.03	0.03		
0.03	0.03	0.03		
0.03	0.03	0.03		
0.03	0.03	0.03		
0.03	0.03	0.03		
0.03	0.03	0.03		
0.03	0.03	0.03		
0.03	0.03	0.03		
0.03	0.03	0.03		
0.03	0.03	0.03		
0.03	0.03	0.03		
0.03	0.03	0.03		
0.03	0.03	0.03		
0.03	0.03	0.03		
0.03	0.03	0.03		
0.03	0.03	0.03		
0.03	0.03	0.03		
0.03	0.03	0.03		
0.03	0.03	0.03		
0.03	0.03	0.03		
0.03	0.03	0.03		
0.03	0.03	0.03		
0.03	0.03	0.03		
0.03	0.03	0.03		
0.03	0.03	0.03		
0.03	0.03	0.03		
0.03	0.03	0.03		
0.03	0.03	0.03		
0.03	0.03	0.03		
0.03	0.03	0.03		
0.03	0.03	0.03		
0.03	0.03	0.03		
0.03	0.03	0.03		
